M [M_sun]	stat_err M	sys_err M	R [km]	stat_err R	sys_err R	stability
6.040364e-01	2.673102e-02	7.400000e-06	8.561700e+01	3.740853e+00	2.890000e-03	1
6.317613e-01	2.795727e-02	6.900000e-06	8.557759e+01	3.739111e+00	2.900000e-03	1
6.607084e-01	2.923751e-02	6.300000e-06	8.553673e+01	3.737284e+00	2.890000e-03	1
6.909269e-01	3.057392e-02	5.700000e-06	8.549355e+01	3.735403e+00	2.900000e-03	1
7.224674e-01	3.196871e-02	5.000000e-06	8.544893e+01	3.733427e+00	2.900000e-03	1
7.553820e-01	3.342418e-02	4.100000e-06	8.540198e+01	3.731337e+00	2.900000e-03	1
7.897245e-01	3.494270e-02	3.200000e-06	8.535272e+01	3.729173e+00	2.900000e-03	1
8.255499e-01	3.652669e-02	3.900000e-06	8.530172e+01	3.726919e+00	0.000000e+00	1
8.629150e-01	3.817865e-02	4.500000e-06	8.524811e+01	3.724540e+00	2.900000e-03	1
9.018779e-01	3.990114e-02	5.300000e-06	8.519189e+01	3.722062e+00	2.900000e-03	1
9.424981e-01	4.169676e-02	5.900000e-06	8.513364e+01	3.719485e+00	0.000000e+00	1
9.848367e-01	4.356816e-02	6.600000e-06	8.507250e+01	3.716800e+00	0.000000e+00	1
1.028956e+00	4.551821e-02	7.000000e-06	8.500846e+01	3.713997e+00	0.000000e+00	1
1.074919e+00	4.754957e-02	8.000000e-06	8.494181e+01	3.711018e+00	0.000000e+00	1
1.122792e+00	4.966510e-02	9.000000e-06	8.487226e+01	3.707947e+00	0.000000e+00	1
1.172639e+00	5.186768e-02	1.000000e-05	8.479952e+01	3.704753e+00	2.900000e-03	1
1.224528e+00	5.416031e-02	1.200000e-05	8.472360e+01	3.701397e+00	2.900000e-03	1
1.278526e+00	5.654589e-02	1.500000e-05	8.464449e+01	3.697912e+00	0.000000e+00	1
1.334703e+00	5.902751e-02	1.700000e-05	8.456161e+01	3.694243e+00	2.890000e-03	1
1.393126e+00	6.160808e-02	1.900000e-05	8.447554e+01	3.690451e+00	0.000000e+00	1
1.453867e+00	6.429068e-02	2.100000e-05	8.438542e+01	3.686470e+00	0.000000e+00	1
1.516994e+00	6.707837e-02	2.300000e-05	8.429153e+01	3.682331e+00	0.000000e+00	1
1.582578e+00	6.997427e-02	2.600000e-05	8.419359e+01	3.678003e+00	2.900000e-03	1
1.650688e+00	7.298131e-02	2.700000e-05	8.409158e+01	3.673495e+00	0.000000e+00	1
1.721394e+00	7.610254e-02	2.900000e-05	8.398494e+01	3.668794e+00	2.900000e-03	1
1.794763e+00	7.934096e-02	3.000000e-05	8.387396e+01	3.663905e+00	0.000000e+00	1
1.870864e+00	8.269940e-02	3.200000e-05	8.375833e+01	3.658808e+00	0.000000e+00	1
1.949763e+00	8.618095e-02	3.200000e-05	8.363778e+01	3.653498e+00	0.000000e+00	1
2.031524e+00	8.978819e-02	3.300000e-05	8.351231e+01	3.647960e+00	0.000000e+00	1
2.116209e+00	9.352386e-02	3.100000e-05	8.338161e+01	3.642182e+00	0.000000e+00	1
2.203879e+00	9.739056e-02	3.100000e-05	8.324571e+01	3.636191e+00	0.000000e+00	1
2.294590e+00	1.013907e-01	3.000000e-05	8.310400e+01	3.629957e+00	0.000000e+00	1
2.388396e+00	1.055265e-01	2.800000e-05	8.295679e+01	3.623449e+00	2.900000e-03	1
2.485347e+00	1.098002e-01	2.700000e-05	8.280350e+01	3.616689e+00	0.000000e+00	1
2.585487e+00	1.142137e-01	2.500000e-05	8.264412e+01	3.609656e+00	0.000000e+00	1
2.688858e+00	1.187687e-01	2.400000e-05	8.247865e+01	3.602355e+00	0.000000e+00	1
2.795493e+00	1.234664e-01	2.200000e-05	8.230652e+01	3.594776e+00	0.000000e+00	1
2.905423e+00	1.283084e-01	2.100000e-05	8.212772e+01	3.586890e+00	0.000000e+00	1
3.018669e+00	1.332954e-01	2.000000e-05	8.194197e+01	3.578708e+00	0.000000e+00	1
3.135246e+00	1.384279e-01	2.000000e-05	8.174927e+01	3.570227e+00	0.000000e+00	1
3.255160e+00	1.437063e-01	2.000000e-05	8.154932e+01	3.561408e+00	0.000000e+00	1
3.378410e+00	1.491301e-01	2.100000e-05	8.134212e+01	3.552281e+00	0.000000e+00	1
3.504983e+00	1.546988e-01	2.200000e-05	8.112710e+01	3.542809e+00	0.000000e+00	1
3.634856e+00	1.604108e-01	2.600000e-05	8.090426e+01	3.532992e+00	0.000000e+00	1
3.767998e+00	1.662647e-01	2.100000e-05	8.067359e+01	3.522826e+00	0.000000e+00	1
3.904365e+00	1.722584e-01	1.120000e-04	8.043452e+01	3.512300e+00	0.000000e+00	1
4.043905e+00	1.783900e-01	4.370000e-04	8.018733e+01	3.501415e+00	0.000000e+00	1
4.186554e+00	1.846572e-01	1.006000e-03	7.993146e+01	3.490140e+00	2.900000e-03	1
4.332234e+00	1.910572e-01	1.842000e-03	7.966717e+01	3.478503e+00	5.800000e-03	1
4.480846e+00	1.975847e-01	2.934000e-03	7.939391e+01	3.466480e+00	8.700000e-03	1
4.632262e+00	2.042310e-01	4.250000e-03	7.911195e+01	3.454070e+00	1.159000e-02	1
4.786342e+00	2.109856e-01	5.707000e-03	7.882072e+01	3.441272e+00	1.739000e-02	1
4.942965e+00	2.178457e-01	7.134000e-03	7.852050e+01	3.428030e+00	2.608000e-02	1
5.102056e+00	2.248214e-01	8.245000e-03	7.821072e+01	3.414385e+00	3.188000e-02	1
5.263514e+00	2.319228e-01	8.695000e-03	7.789196e+01	3.400380e+00	3.767000e-02	1
5.426997e+00	2.391121e-01	8.291000e-03	7.756393e+01	3.386008e+00	4.057000e-02	1
5.591852e+00	2.462796e-01	7.071000e-03	7.722633e+01	3.371209e+00	4.057000e-02	1
5.757262e+00	2.532770e-01	5.201000e-03	7.687801e+01	3.355752e+00	4.347000e-02	1
5.922428e+00	2.599658e-01	4.696000e-03	7.651752e+01	3.339304e+00	4.057000e-02	1
6.086605e+00	2.662343e-01	9.784000e-03	7.614370e+01	3.321531e+00	3.477000e-02	1
6.249113e+00	2.720042e-01	1.751600e-02	7.575481e+01	3.302105e+00	2.608000e-02	1
6.409351e+00	2.772380e-01	2.853600e-02	7.534941e+01	3.280778e+00	4.347000e-02	1
6.566795e+00	2.819410e-01	4.297100e-02	7.492719e+01	3.257293e+00	7.244000e-02	1
6.721012e+00	2.861624e-01	5.989700e-02	7.448643e+01	3.231594e+00	1.101100e-01	1
6.871657e+00	2.899924e-01	7.753900e-02	7.402741e+01	3.203581e+00	1.535900e-01	1
7.018484e+00	2.935559e-01	9.410900e-02	7.354956e+01	3.173258e+00	2.057400e-01	1
7.161343e+00	2.970045e-01	1.081270e-01	7.305316e+01	3.140736e+00	2.608100e-01	1
7.300186e+00	3.005036e-01	1.184860e-01	7.253822e+01	3.106196e+00	3.129700e-01	1
7.435076e+00	3.042184e-01	1.244680e-01	7.200560e+01	3.069812e+00	3.622300e-01	1
7.566187e+00	3.082977e-01	1.257360e-01	7.145588e+01	3.031914e+00	4.027900e-01	1
7.693812e+00	3.128572e-01	1.223230e-01	7.089051e+01	2.992792e+00	4.375700e-01	1
7.818377e+00	3.179636e-01	1.146110e-01	7.031066e+01	2.952783e+00	4.607600e-01	1
7.940446e+00	3.236227e-01	1.033150e-01	6.971805e+01	2.912251e+00	4.752400e-01	1
8.060662e+00	3.297740e-01	8.935900e-02	6.911472e+01	2.871662e+00	4.781400e-01	1
8.179624e+00	3.363001e-01	7.364800e-02	6.850270e+01	2.831375e+00	4.694400e-01	1
8.297849e+00	3.430459e-01	5.701100e-02	6.788488e+01	2.791838e+00	4.520600e-01	1
8.415764e+00	3.498419e-01	4.019400e-02	6.726359e+01	2.753373e+00	4.288800e-01	1
8.533700e+00	3.565237e-01	2.385800e-02	6.664142e+01	2.716310e+00	3.941000e-01	1
8.651892e+00	3.629486e-01	8.575000e-03	6.602071e+01	2.680781e+00	3.593400e-01	1
8.770473e+00	3.690072e-01	5.175000e-03	6.540405e+01	2.646950e+00	3.187700e-01	1
8.889467e+00	3.746312e-01	1.700200e-02	6.479319e+01	2.614810e+00	2.781900e-01	1
9.008782e+00	3.797960e-01	2.662400e-02	6.419015e+01	2.584343e+00	2.347300e-01	1
9.128203e+00	3.845195e-01	3.386400e-02	6.359667e+01	2.555499e+00	1.970500e-01	1
9.247371e+00	3.888564e-01	3.867200e-02	6.301392e+01	2.528080e+00	1.593800e-01	1
9.365771e+00	3.928870e-01	4.113600e-02	6.244333e+01	2.502038e+00	1.246100e-01	1
9.482710e+00	3.967029e-01	4.150400e-02	6.188521e+01	2.477203e+00	9.853000e-02	1
9.597310e+00	4.003873e-01	4.018200e-02	6.134042e+01	2.453467e+00	7.244000e-02	1
9.708613e+00	4.039906e-01	3.765500e-02	6.080838e+01	2.430702e+00	5.217000e-02	1
9.815670e+00	4.075254e-01	3.439400e-02	6.028851e+01	2.408855e+00	4.057000e-02	1
9.917573e+00	4.109735e-01	3.082800e-02	5.977965e+01	2.387802e+00	2.898000e-02	1
1.001346e+01	4.142945e-01	2.731800e-02	5.928093e+01	2.367454e+00	2.028000e-02	1
1.010252e+01	4.174396e-01	2.416000e-02	5.879120e+01	2.347711e+00	1.739000e-02	1
1.018398e+01	4.203594e-01	2.154000e-02	5.830871e+01	2.328507e+00	1.738000e-02	1
1.025711e+01	4.230107e-01	1.960000e-02	5.783260e+01	2.309709e+00	1.449000e-02	1
1.032122e+01	4.253553e-01	1.837000e-02	5.736141e+01	2.291231e+00	1.448000e-02	1
1.037565e+01	4.273532e-01	1.780000e-02	5.689399e+01	2.272979e+00	1.449000e-02	1
1.041980e+01	4.289622e-01	1.774000e-02	5.642918e+01	2.254904e+00	1.449000e-02	1
1.045306e+01	4.301293e-01	1.800000e-02	5.596610e+01	2.236901e+00	1.159000e-02	1
1.047491e+01	4.307907e-01	1.829000e-02	5.550419e+01	2.218911e+00	8.690000e-03	1
1.048484e+01	4.308778e-01	1.827000e-02	5.504198e+01	2.200922e+00	5.800000e-03	1
