M [M_sun]	stat_err M	sys_err M	R [km]	stat_err R	sys_err R	stability
1.396761e-01	3.256921e-03	7.700000e-06	1.395291e+06	4.182181e+04	4.200000e+02	1
1.493214e-01	3.482093e-03	6.600000e-06	1.365226e+06	4.098038e+04	4.640000e+02	1
1.583809e-01	3.693720e-03	5.700000e-06	1.339848e+06	4.028999e+04	8.770000e+02	1
1.750988e-01	4.084087e-03	2.800000e-06	1.297584e+06	3.899996e+04	1.044000e+03	1
1.828845e-01	4.265906e-03	3.100000e-06	1.278342e+06	3.851122e+04	1.195000e+03	1
1.903534e-01	4.440235e-03	1.100000e-06	1.262962e+06	3.798174e+04	7.170000e+02	1
2.044723e-01	4.769873e-03	4.000000e-07	1.233216e+06	3.715009e+04	2.680000e+02	1
2.176771e-01	5.078126e-03	1.100000e-06	1.207678e+06	3.645726e+04	4.640000e+02	1
2.301257e-01	5.368752e-03	2.000000e-06	1.186133e+06	3.577923e+04	4.710000e+02	1
2.419345e-01	5.644413e-03	3.200000e-06	1.167319e+06	3.526370e+04	4.930000e+02	1
2.586378e-01	6.034295e-03	4.000000e-06	1.141760e+06	3.446582e+04	6.660000e+02	1
2.743256e-01	6.400493e-03	5.300000e-06	1.119541e+06	3.387995e+04	6.590000e+02	1
2.891636e-01	6.746803e-03	6.700000e-06	1.100872e+06	3.328211e+04	3.990000e+02	1
3.078360e-01	7.182643e-03	7.700000e-06	1.077942e+06	3.259576e+04	2.320000e+02	1
3.254387e-01	7.593494e-03	9.000000e-06	1.058621e+06	3.205577e+04	8.700000e+01	1
3.461849e-01	8.283052e-03	1.040000e-05	1.037438e+06	3.122508e+04	3.480000e+02	1
3.657554e-01	8.534461e-03	1.140000e-05	1.018421e+06	3.085952e+04	3.770000e+02	1
3.879383e-01	9.052183e-03	1.270000e-05	9.989331e+05	3.024066e+04	1.232000e+02	1
4.089189e-01	9.596126e-03	1.410000e-05	9.817417e+05	2.968115e+04	1.304000e+02	1
4.353217e-01	1.015802e-02	1.560000e-05	9.616235e+05	2.914097e+04	1.449000e+02	1
4.602111e-01	1.073888e-02	1.690000e-05	9.439830e+05	2.862874e+04	9.420000e+01	1
4.895452e-01	1.142264e-02	1.860000e-05	9.249587e+05	2.794804e+04	9.420000e+01	1
5.172166e-01	1.210238e-02	1.990000e-05	9.080933e+05	2.750842e+04	5.080000e+01	1
5.485813e-01	1.280115e-02	2.170000e-05	8.906556e+05	2.699928e+04	1.738000e+02	1
5.806489e-01	1.366902e-02	2.320000e-05	8.738337e+05	2.647888e+04	1.667000e+02	1
6.155755e-01	1.440545e-02	2.510000e-05	8.572002e+05	2.602602e+04	6.520000e+01	1
6.529013e-01	1.526328e-02	2.700000e-05	8.405304e+05	2.547696e+04	1.884000e+02	1
6.922376e-01	1.618299e-02	2.900000e-05	8.243967e+05	2.498520e+04	1.666000e+02	1
7.332600e-01	1.710582e-02	3.100000e-05	8.087992e+05	2.454458e+04	7.970000e+01	1
7.774929e-01	1.820800e-02	3.320000e-05	7.932668e+05	2.403107e+04	1.159000e+02	1
8.244181e-01	1.924994e-02	3.550000e-05	7.777634e+05	2.357674e+04	1.159000e+02	1
8.736006e-01	2.038296e-02	3.790000e-05	7.629627e+05	2.313100e+04	1.087000e+02	1
9.261826e-01	2.160391e-02	4.040000e-05	7.483939e+05	2.268833e+04	8.700000e+01	1
9.801976e-01	2.290682e-02	4.300000e-05	7.342597e+05	2.224948e+04	9.420000e+01	1
1.039443e+00	2.436312e-02	4.600000e-05	7.200531e+05	2.184015e+04	5.070000e+01	1
1.101812e+00	2.571707e-02	4.900000e-05	7.063101e+05	2.142017e+04	1.450000e+01	1
1.167991e+00	2.731346e-02	5.200000e-05	6.926831e+05	2.101178e+04	5.070000e+01	1
1.237368e+00	2.885692e-02	5.500000e-05	6.795849e+05	2.061833e+04	8.700000e+01	1
1.311552e+00	3.066387e-02	5.900000e-05	6.664505e+05	2.022179e+04	7.970000e+01	1
1.389769e+00	3.248054e-02	6.300000e-05	6.537290e+05	1.982759e+04	5.800000e+01	1
1.473259e+00	3.443853e-02	6.600000e-05	6.410727e+05	1.944849e+04	3.620000e+01	1
1.561172e+00	3.647977e-02	7.100000e-05	6.287714e+05	1.907823e+04	7.240000e+01	1
1.654475e+00	3.870347e-02	7.500000e-05	6.167164e+05	1.871267e+04	5.800000e+01	1
1.753093e+00	4.098244e-02	8.000000e-05	6.049223e+05	1.835405e+04	7.960000e+01	1
1.858413e+00	4.342340e-02	8.400000e-05	5.932802e+05	1.800170e+04	5.070000e+01	1
1.969350e+00	4.602578e-02	8.900000e-05	5.818917e+05	1.765802e+04	4.350000e+01	1
2.086993e+00	4.876772e-02	9.500000e-05	5.707568e+05	1.732169e+04	2.170000e+01	1
2.211513e+00	5.169726e-02	1.000000e-04	5.597885e+05	1.698920e+04	1.450000e+01	1
2.343575e+00	5.473345e-02	1.070000e-04	5.490666e+05	1.666809e+04	1.440000e+01	1
2.483632e+00	5.803181e-02	1.130000e-04	5.385474e+05	1.634637e+04	5.790000e+01	1
2.631969e+00	6.153513e-02	1.190000e-04	5.281515e+05	1.602927e+04	2.900000e+01	1
2.788732e+00	6.517633e-02	1.270000e-04	5.180308e+05	1.571823e+04	1.450000e+01	1
2.955366e+00	6.903756e-02	1.350000e-04	5.080695e+05	1.542057e+04	2.170000e+01	1
3.131589e+00	7.320250e-02	1.420000e-04	4.983183e+05	1.512749e+04	1.450000e+01	1
3.318342e+00	7.754092e-02	1.510000e-04	4.887482e+05	1.483669e+04	1.450000e+01	1
3.516266e+00	8.217442e-02	1.600000e-04	4.793665e+05	1.455219e+04	1.450000e+01	1
3.726131e+00	8.705167e-02	1.700000e-04	4.701369e+05	1.427323e+04	2.170000e+01	1
3.948078e+00	9.221955e-02	1.800000e-04	4.611174e+05	1.400197e+04	2.900000e+01	1
4.183094e+00	9.772606e-02	1.910000e-04	4.522645e+05	1.373073e+04	1.450000e+01	1
4.432142e+00	1.035548e-01	2.020000e-04	4.435710e+05	1.346868e+04	2.170000e+01	1
4.695843e+00	1.096905e-01	2.140000e-04	4.350224e+05	1.321281e+04	2.170000e+01	1
4.975373e+00	1.162291e-01	2.270000e-04	4.266622e+05	1.295698e+04	2.180000e+01	1
5.270981e+00	1.231248e-01	2.400000e-04	4.184541e+05	1.270887e+04	1.450000e+01	1
5.584420e+00	1.304361e-01	2.540000e-04	4.103836e+05	1.246532e+04	1.450000e+01	1
5.915970e+00	1.381838e-01	2.690000e-04	4.025087e+05	1.222704e+04	2.170000e+01	1
6.266972e+00	1.463733e-01	2.850000e-04	3.947570e+05	1.199124e+04	1.440000e+01	1
6.638699e+00	1.550312e-01	3.020000e-04	3.871502e+05	1.176316e+04	7.300000e+00	1
7.031936e+00	1.642108e-01	3.190000e-04	3.797101e+05	1.153771e+04	7.300000e+00	1
7.448356e+00	1.739201e-01	3.380000e-04	3.723858e+05	1.131581e+04	1.450000e+01	1
7.889028e+00	1.841993e-01	3.580000e-04	3.652137e+05	1.109944e+04	7.200000e+00	1
8.355183e+00	1.950621e-01	3.780000e-04	3.581792e+05	1.088627e+04	1.450000e+01	1
8.848428e+00	2.065602e-01	4.010000e-04	3.512751e+05	1.067805e+04	7.300000e+00	1
9.370157e+00	2.187249e-01	4.230000e-04	3.445014e+05	1.047415e+04	7.200000e+00	1
9.922099e+00	2.315830e-01	4.480000e-04	3.378509e+05	1.027235e+04	7.300000e+00	1
1.050577e+01	2.451773e-01	4.700000e-04	3.313308e+05	1.007571e+04	7.300000e+00	1
1.112285e+01	2.595500e-01	5.000000e-04	3.249338e+05	9.882618e+03	7.300000e+00	1
1.177515e+01	2.747490e-01	5.300000e-04	3.186528e+05	9.693939e+03	7.300000e+00	1
1.246474e+01	2.908121e-01	5.600000e-04	3.124949e+05	9.508362e+03	7.200000e+00	1
1.319328e+01	3.077734e-01	6.000000e-04	3.064529e+05	9.326622e+03	7.300000e+00	1
1.396299e+01	3.256906e-01	6.200000e-04	3.005196e+05	9.147656e+03	7.200000e+00	1
1.477599e+01	3.446150e-01	6.600000e-04	2.947022e+05	8.972503e+03	7.200000e+00	1
1.563443e+01	3.645988e-01	7.000000e-04	2.889935e+05	8.801172e+03	7.200000e+00	1
1.654055e+01	3.856915e-01	7.300000e-04	2.833934e+05	8.632611e+03	7.200000e+00	1
