M [M_sun]	stat_err M	sys_err M	R [km]	stat_err R	sys_err R	stability
4.746871e-01	9.850140e-03	2.170000e-05	1.704406e+03	3.708229e+01	5.200000e-02	1
5.088800e-01	1.055321e-02	2.320000e-05	1.665140e+03	3.623571e+01	4.900000e-02	1
5.455221e-01	1.130557e-02	2.490000e-05	1.626779e+03	3.540305e+01	5.200000e-02	1
5.847862e-01	1.211054e-02	2.660000e-05	1.589333e+03	3.459651e+01	2.600000e-02	1
6.268570e-01	1.297157e-02	2.860000e-05	1.552678e+03	3.380839e+01	4.400000e-02	1
6.719314e-01	1.389238e-02	3.050000e-05	1.516890e+03	3.302694e+01	1.010000e-01	1
7.202199e-01	1.487687e-02	3.280000e-05	1.481913e+03	3.227849e+01	7.800000e-02	1
7.719464e-01	1.592911e-02	3.510000e-05	1.447759e+03	3.154078e+01	2.000000e-02	1
8.273501e-01	1.705347e-02	3.760000e-05	1.414324e+03	3.082492e+01	6.000000e-03	1
8.866853e-01	1.825444e-02	4.020000e-05	1.381666e+03	3.011584e+01	3.100000e-02	1
9.502230e-01	1.953677e-02	4.310000e-05	1.349676e+03	2.943078e+01	4.100000e-02	1
1.018251e+00	2.090541e-02	4.600000e-05	1.318458e+03	2.876282e+01	7.800000e-02	1
1.091076e+00	2.236552e-02	4.900000e-05	1.287976e+03	2.810556e+01	4.400000e-02	1
1.169022e+00	2.392246e-02	5.200000e-05	1.258131e+03	2.746489e+01	3.500000e-02	1
1.252435e+00	2.558164e-02	5.700000e-05	1.228941e+03	2.683825e+01	1.500000e-02	1
1.341678e+00	2.734888e-02	6.000000e-05	1.200409e+03	2.623026e+01	1.800000e-02	1
1.437138e+00	2.922984e-02	6.400000e-05	1.172518e+03	2.563405e+01	2.100000e-02	1
1.539223e+00	3.123049e-02	6.900000e-05	1.145252e+03	2.505004e+01	3.800000e-02	1
1.648363e+00	3.335662e-02	7.400000e-05	1.118577e+03	2.448096e+01	2.300000e-02	1
1.765009e+00	3.561418e-02	7.900000e-05	1.092465e+03	2.392768e+01	2.000000e-02	1
1.889638e+00	3.800895e-02	8.400000e-05	1.066976e+03	2.338381e+01	1.500000e-02	1
2.022747e+00	4.054670e-02	9.000000e-05	1.041996e+03	2.285441e+01	2.100000e-02	1
2.164856e+00	4.323258e-02	9.500000e-05	1.017576e+03	2.233582e+01	1.500000e-02	1
2.316509e+00	4.607179e-02	1.020000e-04	9.936866e+02	2.183263e+01	1.740000e-02	1
2.478268e+00	4.906853e-02	1.080000e-04	9.702982e+02	2.134250e+01	1.160000e-02	1
2.650717e+00	5.222677e-02	1.160000e-04	9.474140e+02	2.086029e+01	1.160000e-02	1
2.834455e+00	5.554938e-02	1.230000e-04	9.249993e+02	2.039046e+01	1.450000e-02	1
3.030099e+00	5.903803e-02	1.310000e-04	9.030656e+02	1.993182e+01	1.740000e-02	1
3.238276e+00	6.269348e-02	1.390000e-04	8.815956e+02	1.948502e+01	8.700000e-03	1
3.459620e+00	6.651449e-02	1.470000e-04	8.605660e+02	1.904830e+01	1.450000e-02	1
3.694770e+00	7.049824e-02	1.570000e-04	8.399624e+02	1.862308e+01	1.160000e-02	1
3.944359e+00	7.463955e-02	1.660000e-04	8.197703e+02	1.820855e+01	8.700000e-03	1
4.209010e+00	7.893095e-02	1.750000e-04	7.999811e+02	1.780306e+01	1.730000e-02	1
4.489328e+00	8.336184e-02	1.860000e-04	7.805888e+02	1.740717e+01	1.740000e-02	1
4.785885e+00	8.791877e-02	1.950000e-04	7.615819e+02	1.702107e+01	1.450000e-02	1
5.099216e+00	9.258450e-02	2.060000e-04	7.429228e+02	1.664569e+01	1.450000e-02	1
5.429799e+00	9.733778e-02	2.170000e-04	7.246259e+02	1.627771e+01	2.020000e-02	1
5.778041e+00	1.021538e-01	2.270000e-04	7.066738e+02	1.591933e+01	1.160000e-02	1
6.144266e+00	1.070028e-01	2.380000e-04	6.890521e+02	1.556910e+01	8.700000e-03	1
